Breed,temperament,popularity,min_height,max_height,min_weight,max_weight,min_expectancy,max_expectancy,group,grooming_frequency_value,grooming_frequency_category,shedding_value,shedding_category,energy_level_value,energy_level_category,trainability_value,trainability_category,demeanor_value,demeanor_category
chow,"Dignified, Bright, Serious-Minded",75,43.18,50.8,20.41165665,31.7514659,8.0,12.0,Non-Sporting Group,0.6,2-3 Times a Week Brushing,0.6,Seasonal,0.6,Regular Exercise,0.2,May be Stubborn,0.4,Reserved with Strangers
cirneco_dell’etna,"Affectionate, Friendly, Independent",183,41.91,49.53,7.71107029,11.79340162,12.0,14.0,Hound Group,0.2,Occasional Bath/Brush,0.2,Infrequent,0.6,Regular Exercise,0.6,Agreeable,0.6,Alert/Responsive
clumber,"Mellow, Amusing, Gentlemanly",143,43.18,50.8,24.94758035,38.55535145,10.0,12.0,Sporting Group,0.4,Weekly Brushing,0.8,Regularly,0.6,Regular Exercise,0.6,Agreeable,0.4,Reserved with Strangers
cocker_spaniel,"Gentle, Smart, Happy",30,34.29,39.37,9.0718474,13.6077711,10.0,14.0,Sporting Group,0.8,Daily Brushing,0.4,Occasional,0.6,Regular Exercise,1.0,Eager to Please,1.0,Outgoing
collie,"Devoted, Graceful, Proud",38,55.88,66.04,22.6796185,34.01942775,12.0,14.0,Herding Group,0.6,2-3 Times a Week Brushing,0.6,Seasonal,0.6,Regular Exercise,0.8,Easy Training,0.8,Friendly
coton_de_tulear,"Charming, Bright, Happy-Go-Lucky",81,22.86,27.94,3.62873896,6.80388555,15.0,19.0,Non-Sporting Group,0.8,Daily Brushing,0.4,Occasional,0.6,Regular Exercise,0.8,Easy Training,1.0,Outgoing
croatian_sheepdog,"Loyal, Active, Alert and Intelligent",,40.64,50.8,13.15417873,19.95806428,13.0,14.0,Foundation Stock Service,0.2,Occasional Bath/Brush,0.4,Occasional,1.0,Needs Lots of Activity,1.0,Eager to Please,0.4,Reserved with Strangers
curly-coated_retriever,"Confident, Proud, Wickedly Smart",162,58.42,68.58,27.2155422,43.09127515,10.0,12.0,Sporting Group,0.2,Occasional Bath/Brush,0.4,Occasional,0.8,Energetic,0.4,Independent,0.4,Reserved with Strangers
czechoslovakian_vlcak,"Loyal, Intelligent, Active",,59.69,64.77,19.95806428,25.85476509,10.0,15.0,Foundation Stock Service,0.4,Weekly Brushing,1.0,Frequent,1.0,Needs Lots of Activity,0.2,May be Stubborn,0.2,Aloof/Wary
dachshund,"Friendly, Curious, Spunky",12,12.7,22.86,4.98951607,14.51495584,12.0,16.0,Hound Group,0.4,Weekly Brushing,0.4,Occasional,0.6,Regular Exercise,0.6,Agreeable,0.6,Alert/Responsive
dalmatian,"Dignified, Smart, Outgoing",56,48.26,60.96,20.41165665,31.7514659,11.0,13.0,Non-Sporting Group,0.4,Weekly Brushing,1.0,Frequent,0.8,Energetic,0.6,Agreeable,0.6,Alert/Responsive
dandie_dinmont,"Independent, Smart, Proud",176,20.32,27.94,8.16466266,10.88621688,12.0,15.0,Terrier Group,0.8,Daily Brushing,0.2,Infrequent,0.6,Regular Exercise,0.4,Independent,0.4,Reserved with Strangers
danish-swedish_farmdog,"Energetic, Trainable, Attentive",,31.75,36.83,6.80388555,9.0718474,11.0,13.0,Foundation Stock Service,0.2,Occasional Bath/Brush,0.4,Occasional,0.8,Energetic,,,,
deutscher_wachtelhund,"Friendly, Versatile, Determined",,45.72,53.34,18.1436948,24.94758035,12.0,14.0,Foundation Stock Service,0.4,Weekly Brushing,,,0.6,Regular Exercise,,,,
doberman,"Loyal, Fearless, Alert",17,60.96,71.12,27.2155422,45.359237,10.0,12.0,Working Group,0.2,Occasional Bath/Brush,0.8,Regularly,1.0,Needs Lots of Activity,1.0,Eager to Please,0.6,Alert/Responsive
dogo_argentino,"Friendly, Cheerful, Humble",of,60.96,67.31,39.91612856,45.359237,9.0,15.0,Working Group,0.2,Occasional Bath/Brush,0.2,Infrequent,1.0,Needs Lots of Activity,,,,
