Breed,temperament,popularity,min_height,max_height,min_weight,max_weight,min_expectancy,max_expectancy,group,grooming_frequency_value,grooming_frequency_category,shedding_value,shedding_category,energy_level_value,energy_level_category,trainability_value,trainability_category,demeanor_value,demeanor_category
standard_manchester_terrier,"Spirited, Bright, Keenly Observant",133,38.1,40.64,5.44310844,9.97903214,15.0,17.0,Terrier Group,0.4,Weekly Brushing,0.4,Occasional,0.6,Regular Exercise,0.8,Easy Training,0.6,Alert/Responsive
toy_manchester_terrier,"Agile, Spirited, Intelligent",133,25.4,30.48,5.44310844,5.44310844,15.0,17.0,Toy Group,0.4,Weekly Brushing,0.4,Occasional,0.6,Regular Exercise,0.8,Easy Training,0.6,Alert/Responsive
mastiff,"Courageous, Dignified, Good-Natured",29,69.85,76.2,54.4310844,104.3262451,6.0,10.0,Working Group,0.2,Occasional Bath/Brush,0.4,Occasional,0.6,Regular Exercise,0.6,Agreeable,0.6,Alert/Responsive
miniature_american_shepherd,"Good-Natured, Intelligent, Devoted",34,33.02,45.72,9.0718474,18.1436948,12.0,13.0,Herding Group,0.8,Daily Brushing,1.0,Frequent,0.8,Energetic,1.0,Eager to Please,0.8,Friendly
miniature_bull_terrier,"Upbeat, Mischievous, Comical",110,25.4,35.56,8.16466266,12.70058636,11.0,13.0,Terrier Group,0.2,Occasional Bath/Brush,0.4,Occasional,0.8,Energetic,0.4,Independent,0.6,Alert/Responsive
miniature_pinscher,"Fearless, Fun-Loving, Proud",70,25.4,31.75,3.62873896,4.5359237,12.0,16.0,Toy Group,0.2,Occasional Bath/Brush,0.2,Infrequent,0.6,Regular Exercise,0.4,Independent,0.6,Alert/Responsive
miniature_schnauzer,"Friendly, Smart, Obedient",19,30.48,35.56,4.98951607,9.0718474,12.0,15.0,Terrier Group,1.0,Specialty/Professional,0.2,Infrequent,0.6,Regular Exercise,1.0,Eager to Please,0.6,Alert/Responsive
mountain_cur,"Intelligent, Strong-Willed, Reserved with Strangers",,40.64,66.04,13.6077711,27.2155422,10.0,13.0,Foundation Stock Service,0.2,Occasional Bath/Brush,0.6,Seasonal,1.0,Needs Lots of Activity,0.2,May be Stubborn,0.4,Reserved with Strangers
mudi,"Loyal, Intelligent, Active",,38.1,46.99,8.16466266,13.15417873,12.0,14.0,Miscellaneous Class,0.2,Occasional Bath/Brush,0.4,Occasional,1.0,Needs Lots of Activity,1.0,Eager to Please,0.4,Reserved with Strangers
neapolitan_mastiff,"Loyal, Dignified, Watchful",102,60.96,78.74,49.8951607,68.0388555,7.0,9.0,Working Group,0.4,Weekly Brushing,0.6,Seasonal,0.6,Regular Exercise,0.2,May be Stubborn,0.2,Aloof/Wary
nederlandse_kooikerhondje,"Friendly, Alert, Quick",150,35.56,43.18,9.0718474,13.6077711,12.0,15.0,Sporting Group,0.4,Weekly Brushing,0.6,Seasonal,0.6,Regular Exercise,1.0,Eager to Please,0.4,Reserved with Strangers
newfoundland,"Sweet, Patient, Devoted",40,66.04,71.12,45.359237,68.0388555,9.0,10.0,Working Group,0.4,Weekly Brushing,0.6,Seasonal,0.6,Regular Exercise,0.8,Easy Training,0.8,Friendly
norfolk_terrier,"Fearless, Alert, Fun-Loving",126,22.86,25.4,4.98951607,5.44310844,12.0,16.0,Terrier Group,0.4,Weekly Brushing,0.6,Seasonal,0.6,Regular Exercise,0.6,Agreeable,0.8,Friendly
norrbottenspets,"Fearless, Agile, Attentive",,41.91,45.72,9.0718474,13.6077711,14.0,17.0,Miscellaneous Class,0.4,Weekly Brushing,0.4,Occasional,0.8,Energetic,,,,
norwegian_buhund,"Confident, Smart, Perceptive",165,40.64,46.99,11.79340162,18.1436948,12.0,15.0,Herding Group,0.4,Weekly Brushing,0.6,Seasonal,0.8,Energetic,0.8,Easy Training,0.8,Friendly
norwegian_elkhound,"Friendly, Confident, Dependable",97,49.53,52.07,21.77243376,24.94758035,12.0,15.0,Hound Group,0.4,Weekly Brushing,0.6,Seasonal,0.6,Regular Exercise,0.6,Agreeable,0.8,Friendly
norwegian_lundehund,"Loyal, Energetic, Alert",191,30.48,38.1,9.0718474,13.6077711,12.0,15.0,Non-Sporting Group,0.4,Weekly Brushing,0.6,Seasonal,0.8,Energetic,0.6,Agreeable,0.4,Reserved with Strangers
norwich_terrier,"Affectionate, Alert, Curious",108,25.4,25.4,5.44310844,5.44310844,12.0,15.0,Terrier Group,0.4,Weekly Brushing,0.6,Seasonal,0.8,Energetic,0.6,Agreeable,0.8,Friendly
nova_scotia_duck_tolling_retriever,"Affectionate, Intelligent, Outgoing",83,43.18,53.34,15.87573295,22.6796185,12.0,14.0,Sporting Group,0.4,Weekly Brushing,0.6,Seasonal,1.0,Needs Lots of Activity,0.8,Easy Training,0.8,Friendly
old_english_sheepdog,"Adaptable, Gentle, Smart",72,53.34,55.88,27.2155422,45.359237,10.0,12.0,Herding Group,0.6,2-3 Times a Week Brushing,0.6,Seasonal,0.6,Regular Exercise,0.4,Independent,0.6,Alert/Responsive
otterhound,"Even-Tempered, Amiable, Boisterous",182,60.96,68.58,36.2873896,52.16312255,10.0,13.0,Hound Group,0.4,Weekly Brushing,0.6,Seasonal,0.6,Regular Exercise,0.2,May be Stubborn,0.6,Alert/Responsive
papillon,"Friendly, Alert, Happy",54,20.32,27.94,2.26796185,4.5359237,14.0,16.0,Toy Group,0.4,Weekly Brushing,0.6,Seasonal,0.6,Regular Exercise,1.0,Eager to Please,1.0,Outgoing
parson_russell_terrier,"Friendly, Clever, Athletic",117,33.02,35.56,5.89670081,7.71107029,13.0,15.0,Terrier Group,0.4,Weekly Brushing,0.4,Occasional,1.0,Needs Lots of Activity,0.6,Agreeable,0.8,Friendly
pekingese,"Affectionate, Loyal, Regal in Manner",92,15.24,22.86,6.35029318,6.35029318,12.0,14.0,Toy Group,0.6,2-3 Times a Week Brushing,0.6,Seasonal,0.4,Calm,0.2,May be Stubborn,0.4,Reserved with Strangers
pembroke,"Affectionate, Smart, Alert",13,25.4,30.48,12.70058636,13.6077711,12.0,13.0,Herding Group,0.4,Weekly Brushing,0.8,Regularly,0.8,Energetic,0.6,Agreeable,1.0,Outgoing
perro_de_presa_canario,"Confident, Calm, Strong-Willed",,55.88,66.04,38.10175908,49.8951607,9.0,11.0,Foundation Stock Service,0.2,Occasional Bath/Brush,0.6,Seasonal,0.4,Calm,,,,
peruvian_inca_orchid,"Affectionate, Loyal, Noble",,24.765,65.405,3.855535145,24.94758035,12.0,14.0,Miscellaneous Class,0.2,Occasional Bath/Brush,0.8,Regularly,0.8,Energetic,0.6,Agreeable,0.4,Reserved with Strangers
petit_basset_griffon_vendéen,"Alert, Happy, Vivacious",156,33.02,38.1,11.33980925,18.1436948,12.0,14.0,Hound Group,0.4,Weekly Brushing,0.4,Occasional,0.8,Energetic,0.4,Independent,0.8,Friendly
pharaoh_hound,"Friendly, Smart, Noble",172,53.34,63.5,20.41165665,24.94758035,12.0,14.0,Hound Group,0.4,Weekly Brushing,0.6,Seasonal,0.8,Energetic,0.4,Independent,0.4,Reserved with Strangers
plott_hound,"Loyal, Alert, Intelligent",171,50.8,63.5,18.1436948,27.2155422,12.0,14.0,Hound Group,0.2,Occasional Bath/Brush,0.4,Occasional,0.8,Energetic,0.4,Independent,0.6,Alert/Responsive
pointer,"Loyal, Hardworking, Even-Tempered",114,58.42,71.12,20.41165665,34.01942775,12.0,17.0,Sporting Group,0.4,Weekly Brushing,0.4,Occasional,0.8,Energetic,0.6,Agreeable,0.6,Alert/Responsive
polish_lowland_sheepdog,"Confident, Clever, Lively",170,43.18,50.8,13.6077711,22.6796185,12.0,14.0,Herding Group,0.8,Daily Brushing,0.6,Seasonal,0.8,Energetic,0.2,May be Stubborn,0.2,Aloof/Wary
pomeranian,"Inquisitive, Bold, Lively",23,15.24,17.78,1.36077711,3.17514659,12.0,16.0,Toy Group,0.6,2-3 Times a Week Brushing,0.6,Seasonal,0.6,Regular Exercise,0.6,Agreeable,0.6,Alert/Responsive
miniature_poodle,"Active, Proud, Very Smart",7,25.4,38.1,4.5359237,6.80388555,10.0,18.0,Non-Sporting Group,,,,,,,,,,
standard_poodle,"Active, Proud, Very Smart",7,38.1,38.1,18.1436948,31.7514659,10.0,18.0,Non-Sporting Group,1.0,Specialty/Professional,0.2,Infrequent,0.6,Regular Exercise,1.0,Eager to Please,0.8,Friendly
toy_poodle,"Agile, Intelligent, Self-Confident",7,25.4,25.4,1.81436948,2.72155422,10.0,18.0,Toy Group,1.0,Specialty/Professional,0.2,Infrequent,0.6,Regular Exercise,1.0,Eager to Please,0.8,Friendly
porcelaine,"Independent, Energetic, Powerful",,55.88,58.42,24.94758035,28.12272694,12.0,13.0,Foundation Stock Service,0.2,Occasional Bath/Brush,,,0.8,Energetic,,,0.6,Alert/Responsive
portuguese_podengo,"Independent, Alert, Intelligent",,40.64,71.12,15.87573295,29.93709642,10.0,12.0,Miscellaneous Class,0.4,Weekly Brushing,0.8,Regularly,0.8,Energetic,0.6,Agreeable,0.4,Reserved with Strangers
portuguese_podengo_pequeno,"Playful, Charming, Lively",154,20.32,30.48,4.08233133,5.89670081,12.0,15.0,Hound Group,0.4,Weekly Brushing,0.6,Seasonal,0.8,Energetic,0.6,Agreeable,0.8,Friendly
portuguese_pointer,"Affectionate, Smart, Energetic",,52.07,55.88,15.87573295,26.76194983,14.0,14.0,Foundation Stock Service,0.2,Occasional Bath/Brush,0.4,Occasional,0.8,Energetic,1.0,Eager to Please,0.8,Friendly
portuguese_sheepdog,"Intelligent, Devoted, Lively",,41.91,54.61,17.009713875,26.76194983,12.0,13.0,Foundation Stock Service,0.4,Weekly Brushing,0.4,Occasional,0.8,Energetic,,,,
portuguese_water_dog,"Affectionate, Adventurous, Athletic",50,43.18,58.42,15.87573295,27.2155422,11.0,13.0,Working Group,0.8,Daily Brushing,0.6,Seasonal,0.8,Energetic,0.8,Easy Training,0.6,Alert/Responsive
pudelpointer,"Friendly, Smart, Willing to Please",,55.88,66.04,20.41165665,31.7514659,14.0,14.0,Foundation Stock Service,0.2,Occasional Bath/Brush,0.6,Seasonal,0.6,Regular Exercise,,,,
pug,"Charming, Mischievous, Loving",28,25.4,33.02,6.35029318,8.16466266,13.0,15.0,Toy Group,0.4,Weekly Brushing,0.8,Regularly,0.6,Regular Exercise,0.6,Agreeable,0.8,Friendly
puli,"Loyal, Smart, Home-Loving",160,40.64,43.18,11.33980925,15.87573295,10.0,15.0,Herding Group,1.0,Specialty/Professional,0.2,Infrequent,0.6,Regular Exercise,0.4,Independent,0.4,Reserved with Strangers
pumi,"Energetic, Lively, Ready to Work",151,38.1,46.99,9.97903214,13.15417873,12.0,13.0,Herding Group,0.2,Occasional Bath/Brush,0.2,Infrequent,0.8,Energetic,0.8,Easy Training,0.6,Alert/Responsive
pyrenean_mastiff,"Gentle, Brave, Noble",,63.5,78.74,54.4310844,108.8621688,10.0,13.0,Foundation Stock Service,0.6,2-3 Times a Week Brushing,0.6,Seasonal,0.4,Calm,,,,
pyrenean_shepherd,"Affectionate, Active, Enthusiastic",181,38.1,53.34,6.80388555,13.6077711,0.0,0.0,Herding Group,0.4,Weekly Brushing,0.6,Seasonal,0.8,Energetic,0.6,Agreeable,0.4,Reserved with Strangers
rafeiro_do_alentejo,"Confident, Calm, Powerful",,63.5,73.66,34.92661249,59.87419284,12.0,14.0,Foundation Stock Service,0.4,Weekly Brushing,0.6,Seasonal,0.4,Calm,,,,
rat_terrier,"Friendly, Inquisitive, Lovable",86,25.4,45.72,4.5359237,11.33980925,12.0,18.0,Terrier Group,0.4,Weekly Brushing,0.6,Seasonal,0.6,Regular Exercise,0.8,Easy Training,0.8,Friendly
redbone,"Even-Tempered, Amiable, Eager to Please",142,53.34,68.58,20.41165665,31.7514659,12.0,15.0,Hound Group,0.4,Weekly Brushing,0.6,Seasonal,0.6,Regular Exercise,0.8,Easy Training,0.8,Friendly
rhodesian_ridgeback,"Affectionate, Dignified, Even-Tempered",41,60.96,68.58,31.7514659,38.55535145,10.0,10.0,Hound Group,0.4,Weekly Brushing,0.6,Seasonal,0.6,Regular Exercise,0.4,Independent,0.6,Alert/Responsive
romanian_mioritic_shepherd_dog,"Loyal, Independent, Confident Guardian",,57.15,73.66,45.359237,58.9670081,12.0,14.0,Foundation Stock Service,0.4,Weekly Brushing,0.4,Occasional,0.6,Regular Exercise,0.4,Independent,0.2,Aloof/Wary
rottweiler,"Loyal, Loving, Confident Guardian",8,55.88,68.58,36.2873896,61.23496995,9.0,10.0,Working Group,0.4,Weekly Brushing,0.6,Seasonal,0.6,Regular Exercise,0.6,Agreeable,0.4,Reserved with Strangers
russell_terrier,"Alert, Inquisitive, Lively",82,25.4,30.48,4.08233133,6.80388555,12.0,14.0,Terrier Group,0.4,Weekly Brushing,0.4,Occasional,1.0,Needs Lots of Activity,0.6,Agreeable,0.8,Friendly
russian_toy,"Loyal, Smart, Charming",,20.32,27.94,2.948350405,2.948350405,12.0,14.0,Miscellaneous Class,0.4,Weekly Brushing,0.2,Infrequent,0.6,Regular Exercise,0.6,Agreeable,0.8,Friendly
russian_tsvetnaya_bolonka,"Playful, Charming, Inquisitive",,22.86,25.4,2.041165665,4.98951607,12.0,16.0,Foundation Stock Service,0.6,2-3 Times a Week Brushing,0.2,Infrequent,0.6,Regular Exercise,0.6,Agreeable,0.8,Friendly
saint_bernard,"Playful, Charming, Inquisitive",48,66.04,76.2,54.4310844,81.6466266,8.0,10.0,Working Group,0.4,Weekly Brushing,0.6,Seasonal,0.6,Regular Exercise,0.6,Agreeable,0.8,Friendly
saluki,"Gentle, Dignified, Independent-Minded",120,58.42,71.12,18.1436948,29.48350405,10.0,17.0,Hound Group,0.2,Occasional Bath/Brush,0.4,Occasional,0.8,Energetic,0.4,Independent,0.4,Reserved with Strangers
samoyed,"Adaptable, Friendly, Gentle",59,48.26,59.69,15.87573295,29.48350405,12.0,14.0,Working Group,0.6,2-3 Times a Week Brushing,0.6,Seasonal,0.8,Energetic,0.4,Independent,0.8,Friendly
schapendoes,"Friendly, Watchful, Lively",,40.64,50.8,11.79340162,24.94758035,12.0,15.0,Foundation Stock Service,0.4,Weekly Brushing,0.6,Seasonal,0.6,Regular Exercise,0.8,Easy Training,0.6,Alert/Responsive
schipperke,"Confident, Alert, Curious",105,25.4,33.02,4.5359237,7.25747792,12.0,14.0,Non-Sporting Group,0.4,Weekly Brushing,0.6,Seasonal,0.8,Energetic,0.4,Independent,0.6,Alert/Responsive
scottish_deerhound,"Gentle, Dignified, Polite",158,71.12,81.28,34.01942775,49.8951607,8.0,11.0,Hound Group,0.2,Occasional Bath/Brush,0.6,Seasonal,0.6,Regular Exercise,0.4,Independent,0.6,Alert/Responsive
scottish_terrier,"Confident, Independent, Spirited",57,25.4,25.4,8.16466266,9.97903214,12.0,12.0,Terrier Group,0.6,2-3 Times a Week Brushing,0.4,Occasional,0.6,Regular Exercise,0.4,Independent,0.6,Alert/Responsive
sealyham_terrier,"Alert, Outgoing, Sense Of Humor",164,26.67,26.67,10.43262451,10.88621688,12.0,14.0,Terrier Group,0.6,2-3 Times a Week Brushing,0.6,Seasonal,0.6,Regular Exercise,0.4,Independent,0.6,Alert/Responsive
segugio_italiano,"Friendly, Intelligent, Eager to Please",,48.26,58.42,18.1436948,27.2155422,11.0,13.0,Foundation Stock Service,0.4,Weekly Brushing,0.6,Seasonal,,,1.0,Eager to Please,,
shetland_sheepdog,"Playful, Energetic, Bright",25,33.02,40.64,6.80388555,11.33980925,12.0,14.0,Herding Group,0.6,2-3 Times a Week Brushing,0.6,Seasonal,0.6,Regular Exercise,1.0,Eager to Please,0.4,Reserved with Strangers
shiba_inu,"Alert, Active, Attentive",44,34.29,41.91,7.71107029,10.43262451,13.0,16.0,Non-Sporting Group,0.4,Weekly Brushing,0.6,Seasonal,0.6,Regular Exercise,0.4,Independent,0.4,Reserved with Strangers
shih-tzu,"Affectionate, Playful, Outgoing",20,22.86,26.67,4.08233133,7.25747792,10.0,18.0,Toy Group,0.8,Daily Brushing,0.2,Infrequent,0.6,Regular Exercise,0.6,Agreeable,0.8,Friendly
shikoku,"Energetic, Alert, Enthusiastic",,43.18,55.88,15.87573295,24.94758035,10.0,12.0,Foundation Stock Service,0.4,Weekly Brushing,,,0.6,Regular Exercise,,,,
siberian_husky,"Loyal, Mischievous, Outgoing",14,50.8,59.69,15.87573295,27.2155422,12.0,14.0,Working Group,0.4,Weekly Brushing,0.6,Seasonal,0.8,Energetic,0.4,Independent,0.8,Friendly
silky_terrier,"Friendly, Quick, Keenly Alert",112,22.86,25.4,4.5359237,4.5359237,13.0,15.0,Toy Group,0.6,2-3 Times a Week Brushing,0.4,Occasional,0.6,Regular Exercise,0.6,Agreeable,0.6,Alert/Responsive
skye_terrier,"Courageous, Good-Tempered, Canny",178,24.13,25.4,15.87573295,20.41165665,12.0,14.0,Terrier Group,0.8,Daily Brushing,0.6,Seasonal,0.6,Regular Exercise,0.4,Independent,0.4,Reserved with Strangers
sloughi,"Reserved, Graceful, Noble",192,60.96,73.66,15.87573295,22.6796185,10.0,15.0,Hound Group,0.4,Weekly Brushing,0.2,Infrequent,0.6,Regular Exercise,0.4,Independent,0.4,Reserved with Strangers
slovakian_wirehaired_pointer,,,57.15,67.31,22.6796185,29.48350405,12.0,15.0,Foundation Stock Service,0.2,Occasional Bath/Brush,0.4,Occasional,0.8,Energetic,0.4,Independent,1.0,Outgoing
slovensky_cuvac,"Courageous, Alert, Faithful",,58.42,69.85,30.84428116,43.99845989,11.0,13.0,Foundation Stock Service,0.4,Weekly Brushing,0.8,Regularly,0.4,Calm,,,,
slovensky_kopov,"Courageous, Alert, Determined",,40.64,50.8,14.96854821,19.95806428,12.0,13.0,Foundation Stock Service,0.2,Occasional Bath/Brush,0.6,Seasonal,0.6,Regular Exercise,,,,
small_munsterlander_pointer,"Intelligent, Devoted, Self-Confident",,52.07,53.34,18.1436948,27.2155422,12.0,14.0,Foundation Stock Service,0.2,Occasional Bath/Brush,0.6,Seasonal,1.0,Needs Lots of Activity,0.6,Agreeable,0.8,Friendly
smooth_fox_terrier,"Friendly, Independent, Amusing",123,38.1,38.1,6.80388555,8.16466266,12.0,15.0,Terrier Group,0.4,Weekly Brushing,0.4,Occasional,0.8,Energetic,0.6,Agreeable,0.8,Friendly
soft-coated_wheaten_terrier,"Friendly, Happy, Deeply Devoted",53,43.18,48.26,13.6077711,18.1436948,12.0,14.0,Terrier Group,0.6,2-3 Times a Week Brushing,0.2,Infrequent,0.8,Energetic,0.4,Independent,0.6,Alert/Responsive
spanish_mastiff,"Affectionate, Intelligent, Kind",,71.12,88.9,63.5029318,90.718474,10.0,12.0,Foundation Stock Service,,,0.6,Seasonal,0.4,Calm,,,,
spanish_water_dog,Playful but also Work-Oriented. Very Active and Upbeat.,153,40.005,50.165,14.06136347,22.22602613,12.0,14.0,Herding Group,1.0,Specialty/Professional,0.2,Infrequent,0.8,Energetic,1.0,Eager to Please,0.4,Reserved with Strangers
spinone_italiano,"Sociable, Patient, Docile",109,55.88,68.58,,,10.0,12.0,Sporting Group,0.4,Weekly Brushing,,,0.8,Energetic,0.6,Agreeable,0.6,Alert/Responsive
stabyhoun,"Intelligent, Responsive, Loving",,48.26,53.34,18.1436948,27.2155422,13.0,15.0,Foundation Stock Service,0.2,Occasional Bath/Brush,0.6,Seasonal,0.8,Energetic,0.8,Easy Training,0.6,Alert/Responsive
staffordshire_bullterrier,"Clever, Brave, Tenacious",80,35.56,40.64,10.88621688,17.23651006,12.0,14.0,Terrier Group,0.4,Weekly Brushing,0.4,Occasional,0.8,Energetic,0.2,May be Stubborn,0.8,Friendly
standard_schnauzer,"Fearless, Smart, Spirited",89,44.45,49.53,13.6077711,22.6796185,13.0,16.0,Working Group,0.6,2-3 Times a Week Brushing,0.2,Infrequent,0.6,Regular Exercise,0.4,Independent,0.8,Friendly
sussex_spaniel,"Friendly, Merry, Even-Tempered",180,33.02,38.1,15.87573295,20.41165665,13.0,15.0,Sporting Group,0.6,2-3 Times a Week Brushing,0.6,Seasonal,0.6,Regular Exercise,0.4,Independent,0.4,Reserved with Strangers
swedish_lapphund,"Playful, Intelligent, Lively",,40.64,50.8,13.6077711,20.41165665,12.0,14.0,Foundation Stock Service,0.4,Weekly Brushing,0.6,Seasonal,0.6,Regular Exercise,0.2,May be Stubborn,0.6,Alert/Responsive
swedish_vallhund,"Friendly, Energetic, Watchful",169,29.21,34.925,9.0718474,15.87573295,12.0,15.0,Herding Group,0.2,Occasional Bath/Brush,0.6,Seasonal,1.0,Needs Lots of Activity,1.0,Eager to Please,0.8,Friendly
taiwan_dog,"Loyal, Versatile, Intelligent",,43.18,50.8,11.79340162,18.1436948,9.0,13.0,Foundation Stock Service,0.4,Weekly Brushing,0.6,Seasonal,1.0,Needs Lots of Activity,0.8,Easy Training,0.4,Reserved with Strangers
teddy_roosevelt_terrier,"Playful, Versatile, Intelligent",,20.32,38.1,3.62873896,11.33980925,14.0,16.0,Miscellaneous Class,0.4,Weekly Brushing,0.6,Seasonal,0.8,Energetic,1.0,Eager to Please,0.8,Friendly
thai_ridgeback,"Loyal, Independent, Agile",,50.8,60.96,15.87573295,34.01942775,12.0,13.0,Foundation Stock Service,0.2,Occasional Bath/Brush,0.6,Seasonal,0.8,Energetic,0.4,Independent,0.4,Reserved with Strangers
tibetan_mastiff,"Independent, Reserved, Intelligent",131,60.96,66.04,31.7514659,68.0388555,10.0,12.0,Working Group,0.6,2-3 Times a Week Brushing,0.6,Seasonal,0.6,Regular Exercise,0.4,Independent,0.6,Alert/Responsive
tibetan_spaniel,"Playful, Bright, Self-Confident",119,25.4,25.4,4.08233133,6.80388555,12.0,15.0,Non-Sporting Group,0.4,Weekly Brushing,0.6,Seasonal,0.4,Calm,0.6,Agreeable,0.6,Alert/Responsive
tibetan_terrier,"Affectionate, Loyal, Sensitive",96,35.56,43.18,8.16466266,13.6077711,15.0,16.0,Non-Sporting Group,0.6,2-3 Times a Week Brushing,0.6,Seasonal,0.8,Energetic,0.4,Independent,0.4,Reserved with Strangers
tornjak,"Friendly, Courageous, Intelligent",,58.42,71.12,28.12272694,49.8951607,12.0,14.0,Foundation Stock Service,,,,,,,0.8,Easy Training,0.6,Alert/Responsive
tosa,"Fearless, Patient, Vigilant",,54.61,59.69,45.359237,90.718474,10.0,12.0,Foundation Stock Service,0.2,Occasional Bath/Brush,0.4,Occasional,0.4,Calm,0.6,Agreeable,0.4,Reserved with Strangers
toy_terrier,"Friendly, Alert, Intelligent",111,21.59,29.21,1.587573295,3.17514659,13.0,15.0,Toy Group,0.4,Weekly Brushing,0.4,Occasional,0.8,Energetic,1.0,Eager to Please,0.8,Friendly
transylvanian_hound,"Courageous, Good-Natured, Determined",,55.88,66.04,24.94758035,24.94758035,10.0,14.0,Foundation Stock Service,0.4,Weekly Brushing,,,1.0,Needs Lots of Activity,0.2,May be Stubborn,,
treeing_tennessee_brindle,"Friendly, Alert, Intelligent",,40.64,60.96,13.6077711,22.6796185,10.0,12.0,Foundation Stock Service,0.4,Weekly Brushing,0.4,Occasional,0.6,Regular Exercise,,,,
walker_hound,"Smart, Brave, Courteous",137,50.8,68.58,22.6796185,31.7514659,12.0,13.0,Hound Group,0.2,Occasional Bath/Brush,0.6,Seasonal,0.6,Regular Exercise,0.4,Independent,0.8,Friendly
vizsla,"Affectionate, Gentle, Energetic",31,53.34,60.96,19.95806428,27.2155422,12.0,14.0,Sporting Group,0.4,Weekly Brushing,0.6,Seasonal,0.8,Energetic,1.0,Eager to Please,0.8,Friendly
weimaraner,"Friendly, Fearless, Obedient",36,58.42,68.58,24.94758035,40.8233133,10.0,13.0,Sporting Group,0.4,Weekly Brushing,0.6,Seasonal,1.0,Needs Lots of Activity,1.0,Eager to Please,0.8,Friendly
welsh_springer_spaniel,"Happy, Reserved, Upbeat",128,43.18,48.26,15.87573295,24.94758035,12.0,15.0,Sporting Group,0.4,Weekly Brushing,,,0.8,Energetic,0.8,Easy Training,0.8,Friendly
welsh_terrier,"Friendly, Spirited, Intelligent",107,38.1,38.1,9.0718474,9.0718474,12.0,15.0,Terrier Group,0.6,2-3 Times a Week Brushing,0.4,Occasional,0.8,Energetic,0.6,Agreeable,1.0,Outgoing
west_highland_white_terrier,"Loyal, Happy, Entertaining",42,25.4,27.94,6.80388555,9.0718474,13.0,15.0,Terrier Group,0.8,Daily Brushing,0.6,Seasonal,0.6,Regular Exercise,0.6,Agreeable,0.8,Friendly
wetterhoun,"Loyal, Good-Natured, Intelligent",,12.7,58.42,22.6796185,34.01942775,13.0,13.0,Foundation Stock Service,0.2,Occasional Bath/Brush,0.4,Occasional,0.6,Regular Exercise,0.2,May be Stubborn,0.4,Reserved with Strangers
whippet,"Affectionate, Playful, Calm",61,45.72,55.88,11.33980925,18.1436948,12.0,15.0,Hound Group,0.2,Occasional Bath/Brush,0.4,Occasional,0.6,Regular Exercise,0.4,Independent,0.4,Reserved with Strangers
wire-haired_fox_terrier,"Confident, Alert, Gregarious",101,38.1,38.1,6.80388555,8.16466266,12.0,15.0,Terrier Group,0.4,Weekly Brushing,0.2,Infrequent,0.6,Regular Exercise,0.6,Agreeable,0.6,Alert/Responsive
wirehaired_pointing_griffon,"Friendly, Devoted, Trainable",65,50.8,60.96,15.87573295,31.7514659,12.0,15.0,Sporting Group,0.4,Weekly Brushing,0.6,Seasonal,1.0,Needs Lots of Activity,0.6,Agreeable,0.6,Alert/Responsive
wirehaired_vizsla,"Gentle, Loyal, Trainable",167,54.61,63.5,20.41165665,29.48350405,12.0,14.0,Sporting Group,0.2,Occasional Bath/Brush,0.6,Seasonal,0.8,Energetic,0.6,Agreeable,0.6,Alert/Responsive
working_kelpie,"Alert, Eager, Intelligent",,48.26,63.5,12.70058636,27.2155422,12.0,15.0,Foundation Stock Service,0.2,Occasional Bath/Brush,0.6,Seasonal,0.8,Energetic,0.4,Independent,0.6,Alert/Responsive
xoloitzcuintli,"Loyal, Alert, Calm",140,25.4,58.42,4.5359237,24.94758035,13.0,18.0,Non-Sporting Group,0.2,Occasional Bath/Brush,0.2,Infrequent,0.8,Energetic,0.6,Agreeable,0.6,Alert/Responsive
yakutian_laika,"Affectionate, Intelligent, Active",,53.34,58.42,18.1436948,24.94758035,10.0,12.0,Foundation Stock Service,0.4,Weekly Brushing,0.6,Seasonal,0.8,Energetic,0.2,May be Stubborn,0.4,Reserved with Strangers
yorkshire_terrier,"Affectionate, Sprightly, Tomboyish",10,17.78,20.32,3.17514659,3.17514659,11.0,15.0,Toy Group,1.0,Specialty/Professional,0.2,Infrequent,0.6,Regular Exercise,0.2,May be Stubborn,0.8,Friendly
